Real_Time_Elapsed,Drone_X,Drone_Y,Drone_Z,Payload_X,Payload_Y,Payload_Z
0.010552406311035156,1.9733738,-1.6890992e-09,3.0250952,1.9733737707138062,1.860548088123136e-17,1.9747724039351335
0.013800621032714844,1.9733735,-2.752592e-07,3.024731,1.9733737707138062,-2.6312838442282552e-17,1.97374941492285
0.016989946365356445,1.9733717,-1.3985012e-06,3.0242038,1.9733737707138055,-2.1608048574728765e-16,1.9723674490006242
0.020396709442138672,1.9733663,-3.299363e-06,3.0235445,1.9733737707138093,2.10748091821611e-15,1.9707847264492615
0.02355194091796875,1.9733533,-5.655947e-06,3.0227828,1.973373770713799,-8.923627358143193e-15,1.9691311003921366
0.0266568660736084,1.9733275,-8.416302e-06,3.0219452,1.9733737707137848,1.3649179929830038e-14,1.9675052385185492
0.04412579536437988,1.9732823,-1.1585149e-05,3.0210571,1.9733737707139638,5.139940982939778e-14,1.965975725186748
0.04695272445678711,1.9732089,-1.5032809e-05,3.0201428,1.9733737707136787,-2.7668729341726257e-13,1.9645849980917875
0.04970908164978027,1.9730967,-1.8624662e-05,3.019224,1.9733737707124774,1.6298306541951628e-13,1.9633553754638102
0.05365276336669922,1.9729329,-2.22828e-05,3.018322,1.9733737707164196,1.6616680040446981e-12,1.9622937282111252
0.05614972114562988,1.9727029,-2.5915955e-05,3.0174565,1.9733737707214711,-2.425468848951976e-12,1.9614000845918307
0.08734011650085449,1.9723893,-2.9410174e-05,3.016646,1.973373770695826,-7.291285076470608e-12,1.960672932774167
0.0900726318359375,1.9719727,-3.266542e-05,3.0159063,1.9733737706688965,1.1912685225143077e-11,1.9601140869578637
0.09266281127929688,1.9714311,-3.5591707e-05,3.0152533,1.9733737707926913,3.272619795134723e-11,1.9597268799391514
0.09548258781433105,1.9707403,-3.8094582e-05,3.0147,1.973373770978535,-4.219585005830725e-11,1.9595222354677815
0.09807872772216797,1.9698733,-4.0083407e-05,3.0142574,1.9733737704772898,-1.221534425191748e-10,1.959519314526837
0.12745141983032227,1.9688008,-4.147761e-05,3.0139346,1.973373769439466,9.491194549177375e-11,1.9597415922190118
0.13013625144958496,1.9674909,-4.2202308e-05,3.0137377,1.9733737708751697,3.709187139355882e-10,1.9602100455611473
0.132857084274292,1.9659097,-4.2189204e-05,3.013671,1.973373775724928,-4.7800336689466174e-11,1.9609576564681648
0.13677191734313965,1.9640208,-4.138091e-05,3.0137339,1.9733737732794836,-8.632143354724642e-10,1.961992380906146
0.13926005363464355,1.9617864,-3.9731163e-05,3.0139244,1.9733737570700836,-3.7440470725069645e-10,1.9633277146929948
0.17070508003234863,1.959169,-3.720488e-05,3.0142336,1.973373750607517,1.3013600216194042e-09,1.9649632453060852
0.17335963249206543,1.9561356,-3.377639e-05,3.0146494,1.9733737857285947,1.6348211508022327e-09,1.9668746742745193
0.17592740058898926,1.9526569,-2.9426812e-05,3.0151553,1.9733738450085612,-1.4272852626097636e-09,1.9690231079560951
0.1790015697479248,1.9487064,-2.414751e-05,3.0157335,1.9733738401703247,-5.3842510354979094e-09,1.9713827677008913
0.18161869049072266,1.9442599,-1.7940669e-05,3.0163643,1.9733736978793817,-3.117631469612097e-09,1.97392123637225
0.21085238456726074,1.9392965,-1.081554e-05,3.017027,1.9733734850484845,9.702854564451785e-09,1.9766135786265082
0.2137441635131836,1.933798,-2.7836456e-06,3.0176997,1.9733736910326651,7.249183540745404e-09,1.9794241335841958
0.2164614200592041,1.927749,6.138503e-06,3.0183604,1.973374201267955,-3.450714912521735e-08,1.9823132532953711
0.22072625160217285,1.9211367,1.5929456e-05,3.0189872,1.9733747137690885,-6.02419465114947e-08,1.985255865375144
0.2234175205230713,1.9139515,2.6569654e-05,3.0195584,1.973374615197575,-4.7335506508013757e-08,1.9882263958043638
0.2540111541748047,1.9061857,3.804281e-05,3.020053,1.9733730817379782,5.594979727652924e-08,1.9911963698823234
0.25686097145080566,1.8978345,5.0333234e-05,3.0204513,1.973371028287138,2.657935463703766e-07,1.994146448437917
0.25961899757385254,1.8888953,6.3428604e-05,3.0207345,1.9733692214367233,5.009524153827005e-07,1.9970664395776676
0.26261067390441895,1.8793669,7.732148e-05,3.020886,1.9733679573596428,6.908393966018995e-07,1.9999475001124014
0.2654857635498047,1.86925,9.2008326e-05,3.02089,1.973368016767871,8.040286026245307e-07,2.0027816760691493
0.29463887214660645,1.8585466,0.000107487955,3.0207326,1.9733730717929745,7.034301071557323e-07,2.005561026869355
0.2980327606201172,1.8472594,0.00012376267,3.0204027,1.973383894031654,3.7471153269405223e-07,2.008298048909132
0.3037276268005371,1.8353922,0.00014083696,3.0198896,1.973395247428174,-8.5494921461768e-08,2.0110239485284973
0.3067290782928467,1.8229488,0.0001587164,3.019186,1.9733400302364228,2.151029599553116e-08,2.013729510442828
0.3096597194671631,1.8099334,0.00017740749,3.0182867,1.9731036764126941,1.8147719436798692e-06,2.0164266978576646
0.3378734588623047,1.7963505,0.00019691691,3.0171878,1.9727832895215265,4.3632750408759925e-06,2.0191283159351547
0.3408541679382324,1.7822046,0.00021725024,3.0158882,1.9724265027765138,7.341935761369048e-06,2.0218583739408196
0.34365153312683105,1.7675005,0.0002384125,3.0143886,1.972003745351747,1.0802384446635592e-05,2.0246000717621486
0.34715819358825684,1.752243,0.00026040853,3.0126917,1.9715142465202808,1.4996020923571866e-05,2.0274089273702627
0.35011982917785645,1.7364367,0.00028324182,3.010803,1.9709801770227804,1.958662630392345e-05,2.0303403526578387
