Timestamp,drone_x,drone_y,drone_z,payload_x,payload_y,payload_z,round_bar_x,round_bar_y,round_bar_z,Normalized Timestamp
1716393795256394442,1363.3006184895833,-34.682977040608726,2013.259724934896,987.6104125976562,-21.5985787709554,1107.7528076171875,0.0,0.0,0.0,0.0
1716393795256427636,1363.2015380859375,-34.83251953125,2014.2025146484373,987.4793701171876,-21.66326395670573,1108.643798828125,0.0,0.0,0.0,3.3194e-05
1716393795256437122,1364.1363118489585,-33.44493293762207,2004.947998046875,987.3483276367188,-21.72794914245605,1109.5347900390625,0.0,0.0,0.0,4.268e-05
1716393795263964320,1365.0710856119792,-32.05734634399414,1995.6934814453125,994.086466471354,-20.99352582295736,1097.9971110026042,0.0,0.0,0.0,0.007569878
1716393795263985538,1366.005859375,-30.66975975036621,1986.43896484375,1000.8246053059896,-20.25910250345866,1086.4594319661458,0.0,0.0,0.0,0.007591096
1716393795263991101,1364.9355875651042,-32.17215347290039,1996.6142578125,1007.562744140625,-19.52467918395996,1074.9217529296875,0.0,0.0,0.0,0.007596659
1716393795266141113,1363.8653157552085,-33.67454719543457,2006.78955078125,1000.789082845052,-20.33104070027669,1087.3565673828125,0.0,0.0,0.0,0.009746671
1716393795266161242,1362.7950439453125,-35.17694091796875,2016.96484375,994.0154215494792,-21.137402216593426,1099.7913818359375,0.0,0.0,0.0,0.0097668
1716393795266167141,1362.7950439453125,-35.17694091796875,2016.96484375,987.2417602539062,-21.94376373291016,1112.2261962890625,0.0,0.0,0.0,0.009772699
1716393795266711379,1362.7950439453125,-35.17694091796875,2016.96484375,987.2417602539062,-21.94376373291016,1112.2261962890625,0.0,0.0,0.0,0.010316937
1716393795266731013,1362.7950439453125,-35.17694091796875,2016.96484375,987.2417602539062,-21.94376373291016,1112.2261962890625,0.0,0.0,0.0,0.010336571
1716393795266735888,1362.6898600260415,-35.31112798055013,2017.9215901692708,987.2417602539062,-21.94376373291016,1112.2261962890625,0.0,0.0,0.0,0.010341446
1716393795276320467,1362.5846761067708,-35.44531504313151,2018.8783365885415,987.3592325846354,-22.006214141845703,1113.0698649088542,0.0,0.0,0.0,0.019926025
1716393795276344876,1362.4794921875,-35.57950210571289,2019.8350830078125,987.4767049153646,-22.06866455078125,1113.9135335286458,0.0,0.0,0.0,0.019950434
1716393795276351044,1362.4794921875,-35.57950210571289,2019.8350830078125,987.5941772460938,-22.1311149597168,1114.7572021484375,0.0,0.0,0.0,0.019956602
1716393795276418270,1362.4794921875,-35.57950210571289,2019.8350830078125,987.5941772460938,-22.1311149597168,1114.7572021484375,0.0,0.0,0.0,0.020023828
1716393795276423638,1362.4794921875,-35.57950210571289,2019.8350830078125,987.5941772460938,-22.1311149597168,1114.7572021484375,0.0,0.0,0.0,0.020029196
1716393795276429760,1362.3572998046875,-35.758795420328774,2020.7257893880208,987.5941772460938,-22.1311149597168,1114.7572021484375,0.0,0.0,0.0,0.020035318
1716393795285956512,1362.235107421875,-35.938088734944664,2021.6164957682288,987.836934407552,-22.18606122334798,1115.5548095703125,0.0,0.0,0.0,0.02956207
1716393795285978349,1362.1129150390625,-36.11738204956055,2022.5072021484373,988.0796915690104,-22.241007486979168,1116.3524169921875,0.0,0.0,0.0,0.029583907
1716393795285984055,1362.1129150390625,-36.11738204956055,2022.5072021484373,988.3224487304688,-22.29595375061035,1117.1500244140625,0.0,0.0,0.0,0.029589613
1716393795286037164,1362.1129150390625,-36.11738204956055,2022.5072021484373,988.3224487304688,-22.29595375061035,1117.1500244140625,0.0,0.0,0.0,0.029642722
1716393795286042006,1362.1129150390625,-36.11738204956055,2022.5072021484373,988.3224487304688,-22.29595375061035,1117.1500244140625,0.0,0.0,0.0,0.029647564
1716393795286046941,1361.98486328125,-36.28038787841797,2023.4288736979167,988.3224487304688,-22.29595375061035,1117.1500244140625,0.0,0.0,0.0,0.029652499
1716393795295770743,1361.8568115234375,-36.44339370727539,2024.350545247396,988.6597696940104,-22.30660057067871,1117.8707275390625,0.0,0.0,0.0,0.039376301
1716393795295791190,1361.728759765625,-36.60639953613281,2025.272216796875,988.997090657552,-22.31724739074707,1118.5914306640625,0.0,0.0,0.0,0.039396748
1716393795295795845,1361.728759765625,-36.60639953613281,2025.272216796875,989.3344116210938,-22.32789421081543,1119.3121337890625,0.0,0.0,0.0,0.039401403
1716393795295841252,1361.728759765625,-36.60639953613281,2025.272216796875,989.3344116210938,-22.32789421081543,1119.3121337890625,0.0,0.0,0.0,0.03944681
1716393795295845425,1361.728759765625,-36.60639953613281,2025.272216796875,989.3344116210938,-22.32789421081543,1119.3121337890625,0.0,0.0,0.0,0.039450983
1716393795295849519,1361.6177164713542,-36.75828552246094,2026.1794840494792,989.3344116210938,-22.32789421081543,1119.3121337890625,0.0,0.0,0.0,0.039455077
1716393795305576304,1361.5066731770833,-36.91017150878906,2027.0867513020837,989.7941487630208,-22.381309509277344,1119.9704996744792,0.0,0.0,0.0,0.049181862
1716393795305598653,1361.3956298828125,-37.06205749511719,2027.9940185546875,990.253885904948,-22.434724807739254,1120.6288655598958,0.0,0.0,0.0,0.049204211
1716393795305604395,1361.3956298828125,-37.06205749511719,2027.9940185546875,990.713623046875,-22.48814010620117,1121.2872314453125,0.0,0.0,0.0,0.049209953
1716393795305657694,1361.3956298828125,-37.06205749511719,2027.9940185546875,990.713623046875,-22.48814010620117,1121.2872314453125,0.0,0.0,0.0,0.049263252
1716393795305662539,1361.3956298828125,-37.06205749511719,2027.9940185546875,990.713623046875,-22.48814010620117,1121.2872314453125,0.0,0.0,0.0,0.049268097
