Episode,Timestep,Drone_X,Drone_Y,Drone_Z,Payload_X,Payload_Y,Payload_Z
1,0,1.0880231,0.0,4.377862,1.088023066520691,0.0,3.32765731259184
1,1,1.0880231,0.0,4.377178,1.088023066520691,0.0,3.3265710023553563
1,2,1.0880231,0.0,4.376103,1.088023066520691,0.0,3.3249984134939137
1,3,1.0880231,0.0,4.374637,1.088023066520691,0.0,3.3230248299285092
1,4,1.0880231,0.0,4.3727803,1.088023066520691,0.0,3.3207118561276388
1,5,1.0880231,0.0,4.3705325,1.088023066520691,0.0,3.31809719696065
1,6,1.0880231,0.0,4.3678937,1.088023066520691,0.0,3.315197326650145
1,7,1.0880231,0.0,4.364864,1.088023066520691,0.0,3.312011787531409
1,8,1.0880231,0.0,4.361443,1.088023066520691,0.0,3.3085281615660507
1,9,1.0880231,0.0,4.357631,1.088023066520691,0.0,3.304726961013583
1,10,1.0880231,0.0,4.353429,1.088023066520691,0.0,3.300585908280129
1,11,1.0880231,0.0,4.348835,1.088023066520691,0.0,3.2960832953634256
1,12,1.0880231,0.0,4.3438506,1.088023066520691,0.0,3.2912003063780197
1,13,1.0880231,0.0,4.338475,1.088023066520691,0.0,3.2859223379082367
1,14,1.0880231,0.0,4.332709,1.088023066520691,0.0,3.280239455957839
1,15,1.0880231,0.0,4.3265514,1.088023066520691,0.0,3.274146186644155
1,16,1.0880231,0.0,4.320003,1.088023066520691,0.0,3.2676408569238595
1,17,1.0880231,0.0,4.3130636,1.088023066520691,0.0,3.260724690610686
1,18,1.0880231,0.0,4.305733,1.088023066520691,0.0,3.2534008336777562
1,19,1.0880231,0.0,4.2980123,1.088023066520691,0.0,3.2456734407197065
1,20,1.0880231,0.0,4.2899003,1.088023066520691,0.0,3.2375469094142737
1,21,1.0880231,0.0,4.2813973,1.088023066520691,0.0,3.2290253078529663
1,22,1.0880231,0.0,4.2725034,1.088023066520691,0.0,3.220112004616648
1,23,1.0880231,0.0,4.2632184,1.088023066520691,0.0,3.21080948544152
1,24,1.0880231,0.0,4.2535424,1.088023066520691,0.0,3.201119323644406
1,25,1.0880231,0.0,4.2434754,1.088023066520691,0.0,3.1910422633623354
1,26,1.0880231,0.0,4.233018,1.088023066520691,0.0,3.180578373568488
1,27,1.0880231,0.0,4.222169,1.088023066520691,0.0,3.1697272348549848
1,28,1.0880231,0.0,4.2109294,1.088023066520691,0.0,3.158488128185431
1,29,1.0880231,-1.17093635e-11,4.1993113,1.088023066520691,-3.293720530271199e-20,3.146860916871301
1,30,1.088023,-1.3582705e-09,4.187363,1.088023066520691,-2.173261126993106e-18,3.1348521232959747
1,31,1.0880222,7.3526736e-09,4.175146,1.0880230665206903,9.396440330871986e-18,3.122487168016753
1,32,1.0880193,7.711235e-08,4.162716,1.0880230665206916,-6.500844899646804e-18,3.109811094813487
1,33,1.0880115,2.6575242e-07,4.1501217,1.0880230665206958,-1.5457881037991093e-16,3.096883755496078
1,34,1.0879948,6.1790263e-07,4.1374073,1.0880230665206732,6.220672799765441e-16,3.0837734719615497
1,35,1.0879637,1.1772223e-06,4.124611,1.0880230665206783,8.84834545565714e-17,3.070550398113835
1,36,1.0879104,1.9921415e-06,4.1117663,1.0880230665208737,-6.35619069612876e-15,3.0572814645933715
1,37,1.0878257,3.1082302e-06,4.098905,1.0880230665205683,1.0095322268350631e-14,3.044027366595816
1,38,1.087698,4.566001e-06,4.0860543,1.0880230665193273,3.7085969324944696e-14,3.030840701640768
