drone_x,drone_y,drone_z,num_wraps
632.2193439941407,16.11095737838745,4880.578571655274,0.0
522.2272175292969,13.742574209213256,4879.670124389649,0.0
400.842960530599,11.002815797170005,4878.429971394857,0.0
242.16564831542968,7.899221176147461,4878.010700561524,0.0
75.7968993326823,5.330975288391113,4878.059935587566,0.0
-115.71254077148436,3.0223381462097167,4877.423054077149,0.0
-288.3919841308594,1.2925341668128967,4876.750202514649,0.0
-483.77718717447925,-0.0661656441887219,4876.822630900066,0.0
-657.2973592936197,-1.0785141445795696,4877.394408243816,0.0
-823.9272014160156,-1.7064520177841187,4876.212116577149,1.0
-968.8676311035157,-3.264872079849243,4850.367145874024,1.0
-1062.3780477701823,-6.281284576416016,4817.832640665691,1.0
-1117.2895061035156,-9.684078937530517,4802.737263061524,1.0
-1134.5255900878906,-10.568810230255128,4810.620563842774,1.0
-1116.0893107910156,-7.5609974123636885,4825.52551175944,1.0
-1069.799882080078,-0.8970272002220154,4841.492145874024,1.0
-1004.4803630371093,7.660560045878093,4855.370807983399,1.0
-904.7341472167968,19.454434627532958,4869.253132202149,1.0
-792.6399699707031,31.38846261723836,4878.183552124024,1.0
-665.3114635009765,43.51113438034057,4887.825031616211,1.0
-548.7280437011718,53.209039602915446,4890.243203816732,1.0
-433.1362346191406,58.75916904830933,4854.322809936524,1.0
-351.68626513671876,58.67308353805542,4809.754841186524,1.0
-300.05191658528645,55.22680337651571,4771.726846394857,1.0
-271.0555888671875,49.66361545944214,4744.315876342774,1.0
-264.1937724609375,45.16476749801636,4734.487751342774,1.0
-272.41609301757813,41.41319202804566,4740.821857788086,1.0
-291.1882284342448,38.829175863901774,4756.716592488607,1.0
-321.99751391601563,36.656609132130946,4780.480996785482,1.0
-356.4857646484375,35.00462650680542,4804.641559936524,1.0
-395.33549609375,33.35704731369019,4829.277790405274,1.0
-433.46125903320313,31.36413756434123,4848.656696655274,1.0
-468.70124926757813,29.191430324554442,4863.319294311524,1.0
-499.41360074869795,27.08214878463745,4874.343464233399,1.0
-531.9732422688802,24.533051723480227,4883.632445353191,1.0
-562.0340536295572,21.800241385142005,4890.763223347982,1.0
-589.7157145996093,18.88316082382202,4896.098102905274,1.0
-618.7425700683593,15.731712256113688,4899.932005900066,1.0
-646.8246318359375,12.81374048614502,4902.192036010743,1.0
-678.7695170898437,9.37635182762146,4903.811970092774,1.0
-713.188533610026,5.856148793538411,4903.326944051107,1.0
-749.2990886230468,2.8343565406799316,4900.655231811524,1.0
-790.6719727376302,-0.4494216399987539,4895.115111368816,1.0
-838.5626384277343,-3.6755569038391114,4884.769733764649,1.0
-885.4408732910156,-6.168029870351155,4870.027546264649,1.0
-926.0038819173177,-7.776552921295166,4851.664102254232,1.0
-961.8592896321614,-8.50068069076538,4831.87609769694,1.0
-981.8797364095053,-7.307017411549886,4817.209349650066,1.0
-992.5045939941405,-3.854877716064453,4804.064167358399,1.0
-995.6523194173177,2.3208128554026284,4797.404255249024,1.0
-991.6778728027343,10.203796619415284,4798.206989624024,1.0
-981.7884278157553,19.949425930023192,4794.188434936524,1.0
-969.0438192545573,29.554553900400798,4787.138711629232,1.0
-953.3150798339843,39.724665874481204,4782.311725952149,1.0
-937.7472697753905,48.96827625656128,4779.128864624024,1.0
-922.8158122558593,58.13591312789917,4775.963093139649,1.0
-909.0088868001301,66.3748009147644,4772.132445353191,1.0
-896.5013896484375,73.44765209579468,4766.814472534179,1.0
-887.2053020019531,78.78235401535035,4761.975788452149,1.0
-879.601863688151,83.55784026209514,4756.033893920899,1.0
-875.3468303222655,87.30902027511597,4749.638288452148,1.0
-876.3628703613281,89.4375908317566,4742.633015014649,1.0
-882.1200318196614,90.12835875574747,4734.994546590169,1.0
-892.7464966634114,89.07730284754436,4726.374022501627,1.0
-909.5421102701821,85.7821215731303,4717.070921915691,1.0
-929.5151734212241,81.11158426030477,4707.643919962566,1.0
-955.0377971191405,75.04831623458863,4696.448566772461,1.0
-985.4337728678385,67.80506316248577,4682.202066121419,1.0
-1017.2067424316405,58.38363193893433,4658.503010131835,1.0
-1041.151688720703,49.208332612355555,4631.209675170899,1.0
-1066.3201864420573,37.70910318120321,4595.428872762044,1.0
-1085.9186870117187,26.502626651763915,4560.765613891602,1.0
-1097.983231689453,17.60382707341512,4533.594400105794,1.0
-1105.603104736328,9.053230518341065,4508.570270874024,1.0
-1110.1431844889323,2.227083200454712,4486.377114949544,1.0
-1111.8591675618488,-3.4659021752675376,4465.673908569336,1.0
-1110.9162557779948,-8.07542745844523,4446.12219144694,1.0
-1108.5988627929687,-10.859396940231324,4430.196277954102,1.0
-1104.5331584472656,-13.786400562286376,4410.800861694336,1.0
-1099.9496928710937,-15.850994592666625,4390.030384399414,1.0
-1096.6828980305988,-17.457793638865155,4372.234862345378,1.0
-1094.3403280436196,-19.05198169326782,4351.742227254232,1.0
-1093.980790283203,-20.42087563451131,4332.940754272461,1.0
-1094.9134481608073,-21.87218801752726,4314.100991902669,1.0
-1097.0941936035156,-23.334961022694905,4293.478962280274,1.0
-1099.930253173828,-24.708367115020753,4274.075764038086,1.0
-1102.9499064941406,-26.026545291900636,4255.272175170899,1.0
-1105.4026245930988,-27.51044663365682,4237.168618855794,1.0
-1106.3698283691406,-28.644175296783448,4216.357868530274,1.0
-1103.1776896972656,-29.462355381011964,4198.746418334961,1.0
-1096.4208537597656,-29.52406001663208,4181.972126342774,1.0
-1087.5078085123696,-29.52974836603801,4163.962116577149,1.0
-1077.5154989420573,-29.506036207834885,4144.905964233399,1.0
-1067.0541545410156,-29.268767124176026,4127.065143920899,1.0
-1054.831864501953,-29.067349201202394,4108.367023803711,1.0
-1043.2965048014323,-28.383853361765546,4092.2905264078777,1.0
-1030.5304729003906,-27.598912642161054,4076.7994375406897,1.0
-1015.9431722819008,-26.205936517079675,4060.827025431315,1.0
-1000.6595622558593,-24.239012485504155,4045.6640208740237,1.0
-986.4003662923177,-21.872311995188397,4033.5816641031897,1.0
-973.7668213704427,-19.424940830230714,4023.356607137044,1.0
-958.6437541503905,-15.657917743682859,4012.332844116211,1.0
-945.900419189453,-12.24874263381958,4003.8392650146484,1.0
-932.8280925292969,-8.661799770355223,3995.4902415771485,1.0
-922.2361003417968,-4.9776202100118,3989.1748037516277,1.0
-912.4820109863281,-1.0498921928405762,3983.720295288086,1.0
-901.9326131998697,3.156730805079142,3978.7824290771487,1.0
-890.7384318847655,7.678254455566406,3974.4438304443356,1.0
-880.2563436686197,11.175858094533284,3970.966470418294,1.0
-868.4681560058593,14.990515941619872,3966.6982005615237,1.0
-858.9598552246093,17.567231410980224,3963.1291087646487,1.0
-851.5946411946614,19.61644227727254,3960.5011790771487,1.0
-846.9105388183593,21.317725414276122,3958.6267487386067,1.0
